Exercice;Section;D/R;Fonction;Libellé fonction;Nature; BP2015 
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6042; 454 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;60611; 760 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;60612; 873 688,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;60621; 25 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;60622; 525 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;60623; 2 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;60624; 1 250,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;60628; 300 084,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;60631; 389 880,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;60632; 641 584,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;60636; 49 497,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6064; 470 697,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;611; 553 525,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6132; 1 233 533,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6135; 14 880,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;614; 1 332 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;61521; 38 200,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;61522; 544 015,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;61523; 52 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;61551; 155 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;61558; 24 700,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6156; 1 540 198,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;616; 1 098 600,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;617; 382 008,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6182; 108 600,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6184; 495 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6185; 4 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6188; 520 660,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6218; 39 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6225; 14 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6226; 63 020,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6227; 320 300,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6231; 335 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6232; 59 472,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6236; 28 050,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6237; 422 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6238; 133 356,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6241; 1 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6244; 31 600,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6247; 500,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6251; 25 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6255; 34 665,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6256; 110 500,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6257; 5 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6261; 393 170,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6262; 438 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;627; 9 425,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6281; 90 180,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6282; 524 850,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6283; 323 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;62878; 54 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6288; 4 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6331; 309 646,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6336; 927 173,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;63512; 998 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6355; 8 500,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;637; 15 350,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;64111; 14 825 168,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;64112; 426 840,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;64118; 3 990 602,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;64131; 2 009 954,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;64162; 109 726,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6451; 2 919 453,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6453; 4 557 382,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6456; 100 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;64731; 230 857,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6475; 290 310,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6488; 1 060 265,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6574; 1 013 958,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;658; 45 500,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6712; 1 000,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;6718; 5 667 112,00    
2015;F;D;020;ADMINISTRATION GENERALE DE LA COLLECTIVITE;678; 130 300,00    
2015;F;D;021;ASSEMBLEE LOCALE;6331; 24 556,00    
2015;F;D;021;ASSEMBLEE LOCALE;64111; 380 347,00    
2015;F;D;021;ASSEMBLEE LOCALE;64112; 6 012,00    
2015;F;D;021;ASSEMBLEE LOCALE;64118; 171 449,00    
2015;F;D;021;ASSEMBLEE LOCALE;64131; 19 591,00    
2015;F;D;021;ASSEMBLEE LOCALE;6451; 323 919,00    
2015;F;D;021;ASSEMBLEE LOCALE;6453; 130 139,00    
2015;F;D;021;ASSEMBLEE LOCALE;64731; 2 189,00    
2015;F;D;021;ASSEMBLEE LOCALE;6488; 25 104,00    
2015;F;D;021;ASSEMBLEE LOCALE;6531; 1 028 766,00    
2015;F;D;021;ASSEMBLEE LOCALE;6532; 25 000,00    
2015;F;D;021;ASSEMBLEE LOCALE;6533; 78 811,00    
2015;F;D;021;ASSEMBLEE LOCALE;6535; 40 000,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;60628; 1 200,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;60631; 350,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;60632; 800,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;6064; 26 000,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;6156; 15 400,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;6188; 5 000,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;6261; 7 500,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;6331; 42 768,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;637; 300,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;64111; 2 047 554,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;64112; 113 787,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;64118; 428 225,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;64131; 54 903,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;64162; 22 047,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;6451; 374 197,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;6453; 654 348,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;64731; 75 730,00    
2015;F;D;022;ADMINISTRATION GENERALE DE L'ETAT;6488; 123 468,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6135; 20 000,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6182; 5 000,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6188; 273 700,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6232; 55 000,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6233; 153 650,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6236; 49 269,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6237; 316 090,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6238; 7 000,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6282; 5 885,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6331; 17 777,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;637; 1 000,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;64111; 1 160 994,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;64112; 11 242,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;64118; 204 566,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;64131; 320 871,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6451; 193 757,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6453; 199 560,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;64731; 48 526,00    
2015;F;D;023;INFORMATION, COMMUNICATION, PUBLICITE;6488; 34 314,00    
2015;F;D;024;FETES ET CEREMONIES;60623; 44 000,00    
2015;F;D;024;FETES ET CEREMONIES;60628; 22 604,00    
2015;F;D;024;FETES ET CEREMONIES;60631; 3 040,00    
2015;F;D;024;FETES ET CEREMONIES;60632; 17 804,00    
2015;F;D;024;FETES ET CEREMONIES;60636; 20 400,00    
2015;F;D;024;FETES ET CEREMONIES;6064; 2 560,00    
2015;F;D;024;FETES ET CEREMONIES;6135; 9 936,00    
2015;F;D;024;FETES ET CEREMONIES;61558; 14 528,00    
2015;F;D;024;FETES ET CEREMONIES;6156; 1 840,00    
2015;F;D;024;FETES ET CEREMONIES;6232; 39 472,00    
2015;F;D;024;FETES ET CEREMONIES;6282; 42 600,00    
2015;F;D;024;FETES ET CEREMONIES;6331; 23 791,00    
2015;F;D;024;FETES ET CEREMONIES;64111; 561 756,00    
2015;F;D;024;FETES ET CEREMONIES;64112; 35 091,00    
2015;F;D;024;FETES ET CEREMONIES;64118; 316 485,00    
2015;F;D;024;FETES ET CEREMONIES;64131; 64 546,00    
