jahr,klasse_ch,projekttyp,forschungsstaette,finanzquelle,finanzbeitrag
2015,1,"FE","Ausland","BFE",79594.72
2015,1,"FE","BFH","BFE",506500.00
2015,1,"FE","BFH","KTI",921290.20
2015,1,"FE","BFH","Kantone",1672566.39
2015,1,"FE","Bund","Andere Bund",428283.12
2015,1,"FE","Bund","BFE",612408.72
2015,1,"FE","Bund","EU",141353.00
2015,1,"FE","Bund","KTI",1386403.47
2015,1,"FE","Bund","SBFI",11496.26
2015,1,"FE","Bund","SNF",278893.35
2015,1,"FE","CSEM","KTI",437541.90
2015,1,"FE","EMPA","Andere Bund",140350.00
2015,1,"FE","EMPA","BFE",252448.00
2015,1,"FE","EMPA","ETH-Rat",18538314.49
2015,1,"FE","EMPA","EU",94818.86
2015,1,"FE","EMPA","KTI",1710866.60
2015,1,"FE","EMPA","SNF",68491.77
2015,1,"FE","EPFL","Andere Bund",200000.00
2015,1,"FE","EPFL","BFE",400142.70
2015,1,"FE","EPFL","ETH-Rat",3751626.99
2015,1,"FE","EPFL","KTI",3314907.71
2015,1,"FE","EPFL","SNF",1845297.33
2015,1,"FE","ETHZ","Andere Bund",40000.00
2015,1,"FE","ETHZ","BFE",1438203.00
2015,1,"FE","ETHZ","ETH-Rat",14043187.96
2015,1,"FE","ETHZ","EU",487741.37
2015,1,"FE","ETHZ","KTI",5381295.68
2015,1,"FE","ETHZ","SBFI",425182.50
2015,1,"FE","ETHZ","SNF",2981380.83
2015,1,"FE","FHNW","Andere Bund",17652.00
2015,1,"FE","FHNW","BFE",637258.00
2015,1,"FE","FHNW","KTI",702319.93
2015,1,"FE","FHNW","Kantone",1901431.48
2015,1,"FE","FHNW","SNF",227249.16
2015,1,"FE","FHO","BFE",300000.00
2015,1,"FE","FHO","EU",172976.00
2015,1,"FE","FHO","KTI",3142581.62
2015,1,"FE","FHO","Kantone",1491980.91
2015,1,"FE","FHZ","Andere Bund",48756.25
2015,1,"FE","FHZ","BFE",348284.00
2015,1,"FE","FHZ","KTI",1744358.04
2015,1,"FE","FHZ","Kantone",2241591.55
2015,1,"FE","FHZ","SNF",180429.04
