id,name,abbreviation,other_names,description,classification,parent_id,founding_date,dissolution_date,image,url,jurisdiction_code,email,address,contact,tags,source_url
nz/a2f,Asia New Zealand Foundation,A2F,,,,,,,,http://www.asianz.org.nz,NZ,,,,,
nz/acc,Accident Compensation Corporation,ACC,,,,,,,,http://www.acc.co.nz/,NZ,,,,popular_agency,
nz/accounting-standards-review-board,Accounting Standards Review Board,,,,,,,,,http://www.asrb.co.nz/,NZ,,,,,
nz/acg-strathallan,ACG Strathallan,,,,,,,,,http://www.acgedu.com,NZ,,,,,
nz/acg-sunderland,ACG Sunderland,,,,,,,,,http://www.acgedu.com/,NZ,,,,,
nz/acil,Auckland Council Investments Limited,ACIL,,,,,,,,http://www.aucklandcouncil.govt.nz/EN/ABOUTCOUNCIL/HOWCOUNCILWORKS/CCO/Pages/council_investments.aspx,NZ,,,,,
nz/acp,Animal Control Products Limited,ACP,,,,,,,,http://www.pestoff.co.nz/,NZ,,,,,
nz/agmardt,Agricultural and Marketing Research and Development Trust,AGMARDT,,,,,,,,http://www.agmardt.org.nz/,NZ,,,,,
nz/agresearch-limited,AgResearch Limited,,,,,,,,,http://www.agresearch.co.nz/,NZ,,,,,
nz/ahb,Animal Health Board,AHB,,,,,,,,http://www.ahb.org.nz/,NZ,,,,,
nz/air,Airways Corporation of New Zealand Limited,AIR,,,,,,,,http://www.airways.co.nz/,NZ,,,,,
nz/air-new-zealand,Air New Zealand,,,,,,,,,http://www.airnewzealand.co.nz/,NZ,,,,,
nz/alac,Alcohol Advisory Council of New Zealand,ALAC,,,,,,,,http://www.alcohol.org.nz/,NZ,,,,,
nz/ambury-park-centre-for-riding-therapy,Ambury Park Centre for Riding Therapy,,,,,,,,,http://www.amburyparkcentre.org.nz/,NZ,,,,,
nz/aoraki-polytechnic,Aoraki Polytechnic,,,,,,,,,http://www.aoraki.ac.nz/,NZ,,,,,
nz/arc,Auckland Regional Council,ARC,,,,,,,,http://www.arc.govt.nz/,NZ,,,,,
nz/archives-new-zealand-te-rua-mahara-o-te-kwanatanga,Archives New Zealand Te Rua Mahara o te Kāwanatanga,,,,,,,,,http://www.archives.govt.nz,NZ,,,,,
nz/arts-council-of-new-zealand-toi-aotearoa,Arts Council of New Zealand Toi Aotearoa,,,,,,,,,http://www.creativenz.govt.nz/,NZ,,,,,
nz/ashburton-district-council,Ashburton District Council,,,,,,,,,http://www.ashburtondc.govt.nz,NZ,,,,district_council,
nz/associate-minister-for-climate-change-issues,Associate Minister for Climate Change Issues,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/associate-minister-for-primary-industries,Associate Minister for Primary Industries,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/associate-minister-of-acc,Associate Minister of ACC,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-canterbury-earthquake-recovery,Associate Minister of Canterbury Earthquake Recovery,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-commerce,Associate Minister of Commerce,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-conservation,Associate Minister of Conservation,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-corrections,Associate Minister of Corrections,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-education,Associate Minister of Education,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-finance,Associate Minister of Finance,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-foreign-affairs,Associate Minister of Foreign Affairs,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-health,Associate Minister of Health,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-housing,Associate Minister of Housing,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-immigration,Associate Minister of Immigration,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-justice,Associate Minister of Justice,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-social-development,Associate Minister of Social Development,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-tertiary-education-skills-and-employment,"Associate Minister of Tertiary Education, Skills and Employment",,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-tourism,Associate Minister of Tourism,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/associate-minister-of-transport,Associate Minister of Transport,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/asurequality-limited,AsureQuality Limited,,,,,,,,,http://www.asurequality.com/,NZ,,,,,
nz/auckland-city-council,Auckland City Council,,,,,,,,,http://www.aucklandcity.govt.nz/,NZ,,,,city_council,
nz/auckland-council,Auckland Council,,,,,,,,,http://aucklandcouncil.govt.nz,NZ,,,,popular_agency city_council,
nz/auckland-district-health-board,Auckland District Health Board,,,,,,,,,http://www.adhb.govt.nz,NZ,,,,dhb,
nz/auckland-transport,Auckland Transport,,,,,,,,,http://www.aucklandtransport.govt.nz/,NZ,,,,,
nz/auckland-university-of-technology,Auckland University of Technology,,,,,,,,,http://www.aut.ac.nz,NZ,,,,university,
nz/aucklandwaikato-fish-and-game-council,Auckland/Waikato Fish and Game Council,,,,,,,,,http://www.fishandgame.org.nz/Site/Regions/Auckland/default.aspx,NZ,,,,,
nz/bay-of-plenty-district-health-board,Bay of Plenty District Health Board,,,,,,,,,http://www.bopdhb.govt.nz,NZ,,,,dhb,
nz/bay-of-plenty-polytechnic,Bay of Plenty Polytechnic,,,,,,,,,http://www.boppoly.ac.nz,NZ,,,,,
nz/bay-of-plenty-regional-council,Bay of Plenty Regional Council,,,,,,,,,http://www.envbop.govt.nz,NZ,,,,,
nz/broadcasting-commission,Broadcasting Commission,,,,,,,,,http://www.nzonair.govt.nz,NZ,,,,,
nz/bsa,Broadcasting Standards Authority,BSA,,,,,,,,http://www.bsa.govt.nz/,NZ,,,,,
nz/buller-district-council,Buller District Council,,,,,,,,,http://www.bullerdc.govt.nz,NZ,,,,district_council,
nz/caa,Civil Aviation Authority of New Zealand,CAA,,,,,,,,http://www.caa.govt.nz,NZ,,,,,
nz/cafe,Christchurch Agency for Energy,CAFE,,,,,,,,http://www.cafe.gen.nz,NZ,,,,,
nz/canterbury-district-health-board,Canterbury District Health Board,,,,,,,,,http://www.cdhb.govt.nz,NZ,,,,dhb,
