id,name,abbreviation,other_names,description,classification,parent_id,founding_date,dissolution_date,image,url,jurisdiction_code,email,address,contact,tags,source_url
nz/canterbury-earthquake-heritage-building-fund-trust,Canterbury Earthquake Heritage Building Fund Trust,,,,,,,,,http://www.ccc.govt.nz,NZ,,,,,
nz/career-services,Career Services,,,,,,,,,http://www.careers.govt.nz,NZ,,,,,
nz/ccc,Christchurch City Council,CCC,,,,,,,,http://www.ccc.govt.nz/,NZ,,,,city_council,
nz/ccdhb,Capital and Coast District Health Board,CCDHB,,,,,,,,http://www.ccdhb.org.nz,NZ,,,,dhb,
nz/cdc,Carterton District Council,CDC,,,,,,,,http://www.cartertondc.co.nz/,NZ,,,,district_council,
nz/central-hawkes-bay-district-council,Central Hawke's Bay District Council,,,,,,,,,http://www.chbdc.govt.nz/,NZ,,,,district_council,
nz/central-otago-district-council,Central Otago District Council,,,,,,,,,http://www.codc.govt.nz,NZ,,,,district_council,
nz/central-plains-water-trust,Central Plains Water Trust,,,,,,,,,http://www.xtra.co.nz,NZ,,,,,
nz/central-south-island-fish-and-game-council,Central South Island Fish and Game Council,,,,,,,,,http://www.fishandgame.org.nz/Site/Regions/CSI/default.aspx,NZ,,,,,
nz/cera,Canterbury Earthquake Recovery Authority,CERA,,,,,,,,http://www.cera.govt.nz/,NZ,,,,,
nz/charities-commission,Charities Commission,,,,,,,,,http://www.charities.govt.nz/,NZ,,,,,
nz/chatham-islands-council,Chatham Islands Council,,,,,,,,,http://www.cic.govt.nz,NZ,,,,,
nz/chfa,Crown Health Financing Agency,CHFA,,,,,,,,http://www.rhmu.govt.nz,NZ,,,,,
nz/christchurch-city-holdings-ltd,Christchurch City Holdings Ltd,,,,,,,,,http://www.cchl.co.nz,NZ,,,,,
nz/christchurch-international-airport,Christchurch International Airport,,,,,,,,,http://www.cial.co.nz,NZ,,,,,
nz/christchurch-polytechnic-institute-of-technology,Christchurch Polytechnic Institute of Technology,,,,,,,,,http://www.cpit.ac.nz,NZ,,,,,
nz/city-care-ltd,City Care Ltd,,,,,,,,,http://www.citycare.co.nz,NZ,,,,,
nz/civic-building-ltd,Civic Building Ltd,,,,,,,,,http://www.ccc.govt.nz,NZ,,,,,
nz/clutha-district-council,Clutha District Council,,,,,,,,,http://www.cluthadc.govt.nz,NZ,,,,district_council,
nz/commerce-commission,Commerce Commission,,,,,,,,,http://www.comcom.govt.nz,NZ,,,,,
nz/counties-manukau-district-health-board,Counties Manukau District Health Board,,,,,,,,,http://www.cmdhb.org.nz,NZ,,,,dhb,
nz/crown-asset-management-limited,Crown Asset Management Limited,,,,,,,,,,NZ,,,,,
nz/crown-entity-subsidiaries,Crown entity subsidiaries,,,,,,,,,,NZ,,,,,
nz/crown-law-office,Crown Law Office,,,,,,,,,http://www.crownlaw.govt.nz,NZ,,,,,
nz/department-of-building-and-housing,Department of Building and Housing,,,,,,,,,http://www.dbh.govt.nz,NZ,,,,ministry,
nz/department-of-corrections,Department of Corrections,,,,,,,,,http://www.corrections.govt.nz,NZ,,,,ministry,
nz/deputy-leader-of-the-house,Deputy Leader of the House,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/deputy-prime-minister,Deputy Prime Minister,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/dia,Department of Internal Affairs,DIA,,,,,,,,http://www.dia.govt.nz/,NZ,,,,ministry,
nz/doc,Department of Conservation,DOC,,,,,,,,http://www.doc.govt.nz/,NZ,,,,ministry,
nz/dol,Department of Labour,DoL,,,,,,,,http://www.dol.govt.nz,NZ,,,,popular_agency ministry,
nz/dpmc,Department of the Prime Minister and Cabinet,DPMC,,,,,,,,http://www.dpmc.govt.nz,NZ,,,,ministry,
nz/dunedin-city-council,Dunedin City Council,,,,,,,,,http://www.dunedin.govt.nz/,NZ,,,,city_council,
nz/eastern-fish-and-game-council,Eastern Fish and Game Council,,,,,,,,,http://www.fishandgame.org.nz/Site/Regions/Eastern_HawkesBay/default.aspx,NZ,,,,,
nz/ecan,Canterbury Regional Council,ECAN,,,,,,,,http://www.ecan.govt.nz/,NZ,,,,,
nz/ecnz,Electricity Corporation of New Zealand Limited,ECNZ,,,,,,,,http://www.ccmau.govt.nz/ecnz.html,NZ,,,,,
nz/eco-central-ltd,Eco Central Ltd,,,,,,,,,http://www.ecocentral.co.nz,NZ,,,,,
nz/eeca,Energy Efficiency and Conservation Authority,EECA,,,,,,,,http://www.eeca.govt.nz,NZ,,,,,
nz/eit,Eastern Institute of Technology,EIT,,,,,,,,http://www.eit.ac.nz,NZ,,,,,
nz/electoral-commission,Electoral Commission,,,,,,,,,http://www.elections.org.nz/,NZ,,,,,
nz/electricity-commission,Electricity Commission,,,,,,,,,http://www.electricitycommission.govt.nz,NZ,,,,,
nz/enable-networks-ltd,Enable Networks Ltd,,,,,,,,,http://www.enable.net.nz,NZ,,,,,
nz/epa,Environmental Protection Authority,EPA,,,,,,,,http://www.epa.govt.nz/,NZ,,,,,
nz/eqc,Earthquake Commission,EQC,,,,,,,,http://www.eqc.govt.nz/,NZ,,,,,
nz/ero,Education Review Office,ERO,,,,,,,,http://www.ero.govt.nz,NZ,,,,,
nz/esr,Institute of Environmental Science and Research Limited,ESR,,,,,,,,http://www.esr.cri.nz/,NZ,,,,,
nz/families-commission,Families Commission,,,,,,,,,http://www.nzfamilies.org.nz,NZ,,,,,
nz/far-north-district-council,Far North District Council,,,,,,,,,http://www.fndc.govt.nz/,NZ,,,,district_council,
nz/franklin-district-council,Franklin District Council,,,,,,,,,http://www.franklindistrict.co.nz,NZ,,,,district_council,
nz/fricri,New Zealand Forest Research Institute Limited,FRICRI,,,,,,,,http://www.scionresearch.com/,NZ,,,,,
nz/frst,"Foundation for Research, Science, and Technology",FRST,,,,,,,,http://www.frst.govt.nz,NZ,,,,,
nz/gardens-event-trust,Gardens Event Trust,,,,,,,,,http://www.xtra.co.nz,NZ,,,,,
nz/gcsb,Government Communications Security Bureau,GCSB,,,,,,,,http://www.gcsb.govt.nz/,NZ,,,,,
nz/gdc,Gisborne District Council,GDC,,,,,,,,http://www.gdc.govt.nz,NZ,,,,district_council,
nz/genesis-power-limited,Genesis Power Limited,,,,,,,,,http://www.genesisenergy.co.nz/,NZ,,,,,
nz/gore-district-council,Gore District Council,,,,,,,,,http://www.goredc.govt.nz,NZ,,,,district_council,
nz/grey-district-council,Grey District Council,,,,,,,,,http://www.greydc.govt.nz,NZ,,,,district_council,
nz/gsfnz,Government Superannuation Fund Authority,GSFNZ,,,,,,,,http://www.gsfa.govt.nz,NZ,,,,,
nz/guardians-of-new-zealand-superannuation,Guardians of New Zealand Superannuation,,,,,,,,,http://www.nzsuperfund.co.nz,NZ,,,,,
nz/hamilton-city-council,Hamilton City Council,,,,,,,,,http://www.hamilton.co.nz/,NZ,,,,city_council,
nz/hastings-district-council,Hastings District Council,,,,,,,,,http://www.hastingsdc.govt.nz/,NZ,,,,district_council,
nz/hatea-a-rangi,Hatea-A-Rangi,,,,,,,,,,NZ,,,,,
nz/hauraki-district-council,Hauraki District Council,,,,,,,,,http://www.hauraki-dc.govt.nz,NZ,,,,district_council,
nz/hawkes-bay-district-health-board,Hawke's Bay District Health Board,,,,,,,,,http://www.hawkesbaydhb.govt.nz,NZ,,,,dhb,
nz/hawkes-bay-fish-and-game-council,Hawke's Bay Fish and Game Council,,,,,,,,,http://www.fishandgame.org.nz/Site/Regions/HawkesBay/default.aspx,NZ,,,,,
nz/hawkes-bay-regional-council,Hawke's Bay Regional Council,,,,,,,,,http://www.hbrc.govt.nz,NZ,,,,,
nz/health-and-disability-commissioner,Health and Disability Commissioner,,,,,,,,,http://www.hdc.org.nz/,NZ,,,,,
nz/health-sponsorship-council,Health Sponsorship Council,,,,,,,,,http://www.hsc.org.nz,NZ,,,,,
nz/hnzc,Housing New Zealand Corporation,HNZC,,,,,,,,http://www.hnzc.co.nz/,NZ,,,,,
nz/hon-amy-adams,Hon Amy Adams,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-anne-tolley,Hon Anne Tolley,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-bill-english,Hon Bill English,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-chris-finlayson,Hon Chris Finlayson,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-chris-tremain,Hon Chris Tremain,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-craig-foss,Hon Craig Foss,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-david-carter,Hon David Carter,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-dr-jonathan-coleman,Hon Dr Jonathan Coleman,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-dr-pita-sharples,Hon Dr Pita Sharples,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-gerry-brownlee,Hon Gerry Brownlee,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-hekia-parata,Hon Hekia Parata,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-jo-goodhew,Hon Jo Goodhew,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-john-banks,Hon John Banks,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-john-key,Hon John Key,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-kate-wilkinson,Hon Kate Wilkinson,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-maurice-williamson,Hon Maurice Williamson,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-murray-mccully,Hon Murray McCully,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-nathan-guy,Hon Nathan Guy,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-paula-bennett,Hon Paula Bennett,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-peter-dunne,Hon Peter Dunne,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-phil-heatley,Hon Phil Heatley,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-simon-bridges,Hon Simon Bridges,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-steven-joyce,Hon Steven Joyce,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-tariana-turia,Hon Tariana Turia,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-tim-groser,Hon Tim Groser,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/hon-tony-ryall,Hon Tony Ryall,,,,,,,,,http://www.parliament.govt.nz,NZ,,,,,
nz/horowhenua-district-council,Horowhenua District Council,,,,,,,,,http://www.horowhenua.govt.nz,NZ,,,,district_council,
nz/hrc,Health Research Council of New Zealand,HRC,,,,,,,,http://www.hrc.govt.nz/,NZ,,,,,
nz/human-rights-commission,Human Rights Commission,,,,,,,,,http://www.hrc.co.nz/,NZ,,,,,
nz/hurunui-district-council,Hurunui District Council,,,,,,,,,http://www.hurunui.govt.nz/,NZ,,,,district_council,
nz/hutt-city-council,Hutt City Council,,,,,,,,,http://www.huttcity.govt.nz/,NZ,,,,city_council,
nz/hutt-district-health-board,Hutt District Health Board,,,,,,,,,http://www.huttvalleydhb.org.nz,NZ,,,,dhb,
nz/institute-of-geological-and-nuclear-sciences-limited,Institute of Geological and Nuclear Sciences Limited,,,,,,,,,http://www.gns.cri.nz,NZ,,,,,
nz/internal-admin-authority,Internal admin authority,,,,,,,,,http://www.gmail.com,NZ,,,,,
nz/invercargill-city-council,Invercargill City Council,,,,,,,,,http://www.icc.govt.nz/,NZ,,,,city_council,
nz/ipca,Independent Police Conduct Authority,IPCA,,,,,,,,http://www.ipca.govt.nz/,NZ,,,,,
nz/ird,Inland Revenue Department,IRD,,,,,,,,http://www.ird.govt.nz,NZ,,,,ministry,
nz/irl,Industrial Research Limited,IRL,,,,,,,,http://www.irl.cri.nz/,NZ,,,,,
nz/judith-collins,Judith Collins,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/kaikoura-district-council,Kaikoura District Council,,,,,,,,,http://www.kaikoura.govt.nz,NZ,,,,district_council,
nz/kaipara-district-council,Kaipara District Council,,,,,,,,,http://www.kaipara.govt.nz/,NZ,,,,district_council,
nz/kapiti-coast-district-council,Kapiti Coast District Council,,,,,,,,,http://www.kapiticoast.govt.nz/,NZ,,,,district_council,
nz/kawerau-district-council,Kawerau District Council,,,,,,,,,http://www.kaweraudc.govt.nz,NZ,,,,district_council,
nz/kordia-group-limited,Kordia Group Limited,,,,,,,,,http://www.kordiasolutions.com/,NZ,,,,,
nz/lakes-district-health-board,Lakes District Health Board,,,,,,,,,http://www.lakesdhb.govt.nz,NZ,,,,dhb,
nz/landcare-research-new-zealand-limited,Landcare Research New Zealand Limited,,,,,,,,,http://www.landcareresearch.co.nz,NZ,,,,,
nz/landcorp-farming-limited,Landcorp Farming Limited,,,,,,,,,http://www.landcorp.co.nz,NZ,,,,,
nz/law-commission,Law Commission,,,,,,,,,http://www.lawcom.govt.nz,NZ,,,,,
nz/ldc,Leadership Development Centre,LDC,,,,,,,,http://www.ldc.govt.nz,NZ,,,,,
nz/leader-of-the-house,Leader of the House,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/learning-media-limited,Learning Media Limited,,,,,,,,,http://www.learningmedia.co.nz,NZ,,,,,
nz/lincoln-university,Lincoln University,,,,,,,,,http://www.lincoln.ac.nz,NZ,,,,university,
nz/linz,Land Information New Zealand,LINZ,,,,,,,,http://www.linz.govt.nz,NZ,,,,,
nz/living-way-learning-centre,Living Way Learning Centre,,,,,,,,,http://www.livingway.co.nz,NZ,,,,,
nz/lsa,Legal Services Agency,LSA,,,,,,,,http://www.lsa.govt.nz,NZ,,,,,
nz/mackenzie-district-council,MacKenzie District Council,,,,,,,,,http://www.mackenzie.govt.nz,NZ,,,,district_council,
nz/mana-tamariki,Mana Tamariki,,,,,,,,,http://www.k09e055.kohanga.ac.nz,NZ,,,,,
nz/manawatu-district-council,Manawatu District Council,,,,,,,,,http://www.mdc.govt.nz/,NZ,,,,district_council,
nz/manawatu-wanganui-regional-council,Manawatu-Wanganui Regional Council,,,,,,,,,http://www.horizons.govt.nz,NZ,,,,,
nz/manukau-city-council,Manukau City Council,,,,,,,,,http://www.manukau.govt.nz,NZ,,,,city_council,
nz/maritime-new-zealand,Maritime New Zealand,,,,,,,,,http://www.maritimenz.govt.nz/,NZ,,,,,
nz/marlborough-district-council,Marlborough District Council,,,,,,,,,http://www.marlborough.govt.nz,NZ,,,,district_council,
nz/massey-university,Massey University,,,,,,,,,http://palmerstonnorth.massey.ac.nz,NZ,,,,university,
nz/masterton-district-council,Masterton District Council,,,,,,,,,http://www.mstn.govt.nz,NZ,,,,district_council,
nz/matamata-piako-district-council,Matamata-Piako District Council,,,,,,,,,http://www.mpdc.govt.nz/,NZ,,,,district_council,
nz/mbie,"Ministry of Business, Innovation & Employment",MBIE,,,,,,,,http://www.mbie.govt.nz/,NZ,,,,ministry,
nz/med,Ministry of Economic Development,MED,,,,,,,,http://www.med.govt.nz,NZ,,,,ministry,
nz/mental-health-commission,Mental Health Commission,,,,,,,,,http://www.mhc.govt.nz,NZ,,,,defunct,
nz/meridian-energy-limited,Meridian Energy Limited,,,,,,,,,http://www.meridianenergy.co.nz,NZ,,,,,
nz/meteorological-service-of-new-zealand-limited,Meteorological Service of New Zealand Limited,,,,,,,,,http://www.metservice.co.nz/,NZ,,,,,
nz/mfat,Ministry of Foreign Affairs and Trade,MFAT,,,,,,,,http://www.mfat.govt.nz,NZ,,,,ministry,
nz/mfe,Ministry for the Environment,MFE,,,,,,,,http://www.mfe.govt.nz/,NZ,,,,ministry,
nz/mfish,Ministry of Fisheries,MFish,,,,,,,,http://www.fish.govt.nz/,NZ,,,,defunct ministry,
nz/midcentral-district-health-board,MidCentral District Health Board,,,,,,,,,http://www.midcentraldhb.govt.nz/,NZ,,,,dhb,
nz/mighty-river-power-limited,Mighty River Power Limited,,,,,,,,,http://www.mightyriverpower.co.nz/,NZ,,,,,
nz/mindalive,MindAlive,,,,,,,,,,NZ,,,,,
nz/minister-for-acc,Minister for ACC,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-climate-change-issues,Minister for Climate Change Issues,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-consumer-affairs,Minister for Consumer Affairs,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-economic-development,Minister for Economic Development,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-primary-industries,Minister for Primary Industries,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-senior-citizens,Minister for Senior Citizens,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-sports-and-recreation,Minister for Sports and Recreation,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-tertiary-education-skills-and-employment,"Minister for Tertiary Education, Skills and Employment",,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-the-budget,Minister for the Budget,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-the-community-and-voluntary-sector,Minister for the Community and Voluntary Sector,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-the-courts,Minister for the Courts,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-the-environment,Minister for the Environment,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-tourism,Minister for Tourism,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-veterans-affairs,Minister for Veterans' Affairs,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-for-whnau-ora,Minister for Wh?nau Ora,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,,
nz/minister-of-acc,Minister of ACC,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-arts-culture-and-heritage,"Minister of Arts, Culture, and Heritage",,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-broadcasting,Minister of Broadcasting,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-building-and-construction,Minister of Building and Construction,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-civil-defence,Minister of Civil Defence,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-commerce,Minister of Commerce,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-communications-and-information-technology,Minister of Communications and Information Technology,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-conservation,Minister of Conservation,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-corrections,Minister of Corrections,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-customs,Minister of Customs,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-defence,Minister of Defence,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-disability-issues,Minister of Disability Issues,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-education,Minister of Education,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-energy-and-resources,Minister of Energy and Resources,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-ethnic-affairs,Minister of Ethnic Affairs,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-finance,Minister of Finance,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-food-safety,Minister of Food Safety,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,defunct minister,
nz/minister-of-foreign-affairs,Minister of Foreign Affairs,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-health,Minister of Health,,,,,,,,,http://www.parliament.govt.nz,NZ,,,,minister,
nz/minister-of-housing,Minister of Housing,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-immigration,Minister of Immigration,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-internal-affairs,Minister of Internal Affairs,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-justice,Minister of Justice,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-labour,Minister of Labour,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-land-information,Minister of Land Information,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-local-government,Minister of Local Government,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-mori-affairs,Minister of M?ori Affairs,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
nz/minister-of-pacific-island-affairs,Minister of Pacific Island Affairs,,,,,,,,,http://www.ministers.govt.nz,NZ,,,,minister,
