Zeit [MEZ];Wasserstand;Status;
"09.07.2013 12:00:00";"146";nicht qualitätsgesichert;
"10.07.2013";"145";"qualitätsgesichert";
"11.07.2013";"145";"qualitätsgesichert";
"12.07.2013";"144";"qualitätsgesichert";
"13.07.2013";"143";"qualitätsgesichert";
"14.07.2013";"143";"qualitätsgesichert";
"15.07.2013";"142";"qualitätsgesichert";
