n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
"Parasol Bastia";DRIVECO;"Parasol Bastia";FR*E08*PDRVPARASOL20600*1;"Parasol Bastia";"Allée du Ninu 20600 Bastia";2B033;9.431030;42.664299;7;FR*E08*EBASTIA01AC01*P1;2.30;EF;Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Bastia";DRIVECO;"Parasol Bastia";FR*E08*PDRVPARASOL20600*1;"Parasol Bastia";"Allée du Ninu 20600 Bastia";2B033;9.431030;42.664299;7;FR*E08*EBASTIA01AC01*P2;7.36;T1p;Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Bastia";DRIVECO;"Parasol Bastia";FR*E08*PDRVPARASOL20600*1;"Parasol Bastia";"Allée du Ninu 20600 Bastia";2B033;9.431030;42.664299;7;FR*E08*EBASTIA01AC01*P3;22.08;T3;Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Bastia";DRIVECO;"Parasol Bastia";FR*E08*PDRVPARASOL20600*1;"Parasol Bastia";"Allée du Ninu 20600 Bastia";2B033;9.431030;42.664299;7;FR*E08*EBASTIA01AC01*P4;22.08;T2p;Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Bastia";DRIVECO;"Parasol Bastia";FR*E08*PDRVPARASOL20600*1;"Parasol Bastia";"Allée du Ninu 20600 Bastia";2B033;9.431030;42.664299;7;FR*E08*EBASTIA01AC01*P5;22.08;T2;Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Bastia";DRIVECO;"Parasol Bastia";FR*E08*PDRVPARASOL20600*1;"Parasol Bastia";"Allée du Ninu 20600 Bastia";2B033;9.431030;42.664299;7;FR*E08*ET23IT14415007*P1;20.00;Chademo;Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Ajaccio";DRIVECO;"Parasol Ajaccio";FR*E08*PDRVPARASOL20090*1;"Parasol Ajaccio";"Parking ORNANO 20090 Ajaccio";2A004;8.739990;41.928902;8;FR*E08*EAJACCIO01AC01*P1;7.36;T1p;Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Ajaccio";DRIVECO;"Parasol Ajaccio";FR*E08*PDRVPARASOL20090*1;"Parasol Ajaccio";"Parking ORNANO 20090 Ajaccio";2A004;8.739990;41.928902;8;FR*E08*EAJACCIO01AC01*P2;43.47;T2p;Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Ajaccio";DRIVECO;"Parasol Ajaccio";FR*E08*PDRVPARASOL20090*1;"Parasol Ajaccio";"Parking ORNANO 20090 Ajaccio";2A004;8.739990;41.928902;8;FR*E08*EAJACCIO01URBAN01*P1;22.08;"T2, EF, T2p";Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Ajaccio";DRIVECO;"Parasol Ajaccio";FR*E08*PDRVPARASOL20090*1;"Parasol Ajaccio";"Parking ORNANO 20090 Ajaccio";2A004;8.739990;41.928902;8;FR*E08*EAJACCIO01URBAN02*P1;22.08;"T2, EF, T2p";Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Ajaccio";DRIVECO;"Parasol Ajaccio";FR*E08*PDRVPARASOL20090*1;"Parasol Ajaccio";"Parking ORNANO 20090 Ajaccio";2A004;8.739990;41.928902;8;FR*E08*EAJACCIO01URBAN01*P2;7.36;"EF, T2, T1p";Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Ajaccio";DRIVECO;"Parasol Ajaccio";FR*E08*PDRVPARASOL20090*1;"Parasol Ajaccio";"Parking ORNANO 20090 Ajaccio";2A004;8.739990;41.928902;8;FR*E08*EAJACCIO01URBAN02*P2;7.36;"EF, T2, T1p";Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Ajaccio";DRIVECO;"Parasol Ajaccio";FR*E08*PDRVPARASOL20090*1;"Parasol Ajaccio";"Parking ORNANO 20090 Ajaccio";2A004;8.739990;41.928902;8;FR*E08*ET23IT10416003*P1;20.00;Chademo;Payant;"24/24 7/7 jours";;2020/12/15
"Parasol Ajaccio";DRIVECO;"Parasol Ajaccio";FR*E08*PDRVPARASOL20090*1;"Parasol Ajaccio";"Parking ORNANO 20090 Ajaccio";2A004;8.739990;41.928902;8;FR*E08*ET23IT10416003*P2;20.00;Combo;Payant;"24/24 7/7 jours";;2020/12/15
"LM - Gennevilliers (magasin 72)";DRIVECO;"LM - Gennevilliers (magasin 72)";FR*E11*PLMGEN92230*1;"LM - Gennevilliers (magasin 72)";"121 Avenue du Vieux Chemin de Saint-Denis 92230 Gennevilliers";92036;2.321200;48.932400;4;FR*E11*E10120*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Gennevilliers (magasin 72)";DRIVECO;"LM - Gennevilliers (magasin 72)";FR*E11*PLMGEN92230*1;"LM - Gennevilliers (magasin 72)";"121 Avenue du Vieux Chemin de Saint-Denis 92230 Gennevilliers";92036;2.321200;48.932400;4;FR*E11*E10120*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Gennevilliers (magasin 72)";DRIVECO;"LM - Gennevilliers (magasin 72)";FR*E11*PLMGEN92230*1;"LM - Gennevilliers (magasin 72)";"121 Avenue du Vieux Chemin de Saint-Denis 92230 Gennevilliers";92036;2.321200;48.932400;4;FR*E11*E10121*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Gennevilliers (magasin 72)";DRIVECO;"LM - Gennevilliers (magasin 72)";FR*E11*PLMGEN92230*1;"LM - Gennevilliers (magasin 72)";"121 Avenue du Vieux Chemin de Saint-Denis 92230 Gennevilliers";92036;2.321200;48.932400;4;FR*E11*E10121*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10122*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10123*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
