n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10124*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10125*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10126*P1;11.04;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10127*P1;11.04;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10128*P1;11.04;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10129*P1;11.04;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10130*P1;11.04;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10131*P1;11.04;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10132*P1;11.04;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10133*P1;11.04;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10134*P1;11.04;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10135*P1;11.04;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10136*P1;11.04;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10137*P1;11.04;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10122*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10123*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10124*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10125*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10126*P2;11.04;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10127*P2;11.04;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10128*P2;11.04;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10129*P2;11.04;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10130*P2;11.04;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10131*P2;11.04;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10132*P2;11.04;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10133*P2;11.04;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10134*P2;11.04;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10135*P2;11.04;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10136*P2;11.04;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Siege Lezennes";DRIVECO;"LM - Siege Lezennes";FR*E56*PLMLEZENNES59260*1;"LM - Siege Lezennes";"Rue Chanzy 59260 Lezennes";59346;3.121650;50.611698;32;FR*E56*E10137*P2;11.04;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Grenoble St-Egreve (magasin 194)";DRIVECO;"LM - Grenoble St-Egreve (magasin 194)";FR*E11*PLMGRENOBLE38120*1;"LM - Grenoble St-Egreve (magasin 194)";"14 rue Louis Besançon 38120 Saint-Egrève";38382;5.664950;45.242001;6;FR*E11*E10139*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Grenoble St-Egreve (magasin 194)";DRIVECO;"LM - Grenoble St-Egreve (magasin 194)";FR*E11*PLMGRENOBLE38120*1;"LM - Grenoble St-Egreve (magasin 194)";"14 rue Louis Besançon 38120 Saint-Egrève";38382;5.664950;45.242001;6;FR*E11*E10140*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Grenoble St-Egreve (magasin 194)";DRIVECO;"LM - Grenoble St-Egreve (magasin 194)";FR*E11*PLMGRENOBLE38120*1;"LM - Grenoble St-Egreve (magasin 194)";"14 rue Louis Besançon 38120 Saint-Egrève";38382;5.664950;45.242001;6;FR*E11*E10140*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Grenoble St-Egreve (magasin 194)";DRIVECO;"LM - Grenoble St-Egreve (magasin 194)";FR*E11*PLMGRENOBLE38120*1;"LM - Grenoble St-Egreve (magasin 194)";"14 rue Louis Besançon 38120 Saint-Egrève";38382;5.664950;45.242001;6;FR*E11*E10139*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Brest Guipavas (magasin 193)";DRIVECO;"LM - Brest Guipavas (magasin 193)";FR*E11*PLMBREST29490*1;"LM - Brest Guipavas (magasin 193)";"35 Rue de Keradrien, Zone du froutven 29490 Guipavas";29075;-4.443540;48.418098;4;FR*E11*E10141*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Brest Guipavas (magasin 193)";DRIVECO;"LM - Brest Guipavas (magasin 193)";FR*E11*PLMBREST29490*1;"LM - Brest Guipavas (magasin 193)";"35 Rue de Keradrien, Zone du froutven 29490 Guipavas";29075;-4.443540;48.418098;4;FR*E11*E10142*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Brest Guipavas (magasin 193)";DRIVECO;"LM - Brest Guipavas (magasin 193)";FR*E11*PLMBREST29490*1;"LM - Brest Guipavas (magasin 193)";"35 Rue de Keradrien, Zone du froutven 29490 Guipavas";29075;-4.443540;48.418098;4;FR*E11*E10142*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Brest Guipavas (magasin 193)";DRIVECO;"LM - Brest Guipavas (magasin 193)";FR*E11*PLMBREST29490*1;"LM - Brest Guipavas (magasin 193)";"35 Rue de Keradrien, Zone du froutven 29490 Guipavas";29075;-4.443540;48.418098;4;FR*E11*E10141*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"Parasol Bastia";DRIVECO;"Parasol Bastia";FR*E08*PDRVPARASOL20600*1;"Parasol Bastia";"Allée du Ninu 20600 Bastia";2B033;9.431030;42.664299;7;FR*E08*ET23IT14415007*P2;20.00;Combo;Payant;"24/24 7/7 jours";;2020/12/15
"LM - Ajaccio (magasin 293)";DRIVECO;"LM - Ajaccio (magasin 293)";FR*E11*PLMAJACCIO20090*1;"LM - Ajaccio (magasin 293)";"6 Route de Mezzavia 20090 Ajaccio";2A004;8.773470;41.950600;2;FR*E11*E10143*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Ajaccio (magasin 293)";DRIVECO;"LM - Ajaccio (magasin 293)";FR*E11*PLMAJACCIO20090*1;"LM - Ajaccio (magasin 293)";"6 Route de Mezzavia 20090 Ajaccio";2A004;8.773470;41.950600;2;FR*E11*E10143*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Laval St Berthevin (magasin 198)";DRIVECO;"LM - Laval St Berthevin (magasin 198)";FR*E11*PLMLAVAL53940*1;"LM - Laval St Berthevin (magasin 198)";"Boulevard des Loges, Ex Parc des Expositions 53940 Saint Berthevin";53201;-0.814988;48.061501;4;FR*E11*E10147*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Laval St Berthevin (magasin 198)";DRIVECO;"LM - Laval St Berthevin (magasin 198)";FR*E11*PLMLAVAL53940*1;"LM - Laval St Berthevin (magasin 198)";"Boulevard des Loges, Ex Parc des Expositions 53940 Saint Berthevin";53201;-0.814988;48.061501;4;FR*E11*E10147*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Laval St Berthevin (magasin 198)";DRIVECO;"LM - Laval St Berthevin (magasin 198)";FR*E11*PLMLAVAL53940*1;"LM - Laval St Berthevin (magasin 198)";"Boulevard des Loges, Ex Parc des Expositions 53940 Saint Berthevin";53201;-0.814988;48.061501;4;FR*E11*E10148*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Laval St Berthevin (magasin 198)";DRIVECO;"LM - Laval St Berthevin (magasin 198)";FR*E11*PLMLAVAL53940*1;"LM - Laval St Berthevin (magasin 198)";"Boulevard des Loges, Ex Parc des Expositions 53940 Saint Berthevin";53201;-0.814988;48.061501;4;FR*E11*E10148*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Strasbourg Ostwald La Vigie (magasin 199)";DRIVECO;"LM - Strasbourg Ostwald La Vigie (magasin 199)";FR*E11*PLMSTRASBOURG67200*1;"LM - Strasbourg Ostwald La Vigie (magasin 199)";"2 rue Alfred Kastler 67540 Ostwald";67365;7.695450;48.534800;12;FR*E11*E10153*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Strasbourg Ostwald La Vigie (magasin 199)";DRIVECO;"LM - Strasbourg Ostwald La Vigie (magasin 199)";FR*E11*PLMSTRASBOURG67200*1;"LM - Strasbourg Ostwald La Vigie (magasin 199)";"2 rue Alfred Kastler 67540 Ostwald";67365;7.695450;48.534800;12;FR*E11*E10153*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Strasbourg Ostwald La Vigie (magasin 199)";DRIVECO;"LM - Strasbourg Ostwald La Vigie (magasin 199)";FR*E11*PLMSTRASBOURG67200*1;"LM - Strasbourg Ostwald La Vigie (magasin 199)";"2 rue Alfred Kastler 67540 Ostwald";67365;7.695450;48.534800;12;FR*E11*E10154*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Strasbourg Ostwald La Vigie (magasin 199)";DRIVECO;"LM - Strasbourg Ostwald La Vigie (magasin 199)";FR*E11*PLMSTRASBOURG67200*1;"LM - Strasbourg Ostwald La Vigie (magasin 199)";"2 rue Alfred Kastler 67540 Ostwald";67365;7.695450;48.534800;12;FR*E11*E10154*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Strasbourg Ostwald La Vigie (magasin 199)";DRIVECO;"LM - Strasbourg Ostwald La Vigie (magasin 199)";FR*E11*PLMSTRASBOURG67200*1;"LM - Strasbourg Ostwald La Vigie (magasin 199)";"2 rue Alfred Kastler 67540 Ostwald";67365;7.695450;48.534800;12;FR*E11*E10155*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Strasbourg Ostwald La Vigie (magasin 199)";DRIVECO;"LM - Strasbourg Ostwald La Vigie (magasin 199)";FR*E11*PLMSTRASBOURG67200*1;"LM - Strasbourg Ostwald La Vigie (magasin 199)";"2 rue Alfred Kastler 67540 Ostwald";67365;7.695450;48.534800;12;FR*E11*E10155*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Strasbourg Ostwald La Vigie (magasin 199)";DRIVECO;"LM - Strasbourg Ostwald La Vigie (magasin 199)";FR*E11*PLMSTRASBOURG67200*1;"LM - Strasbourg Ostwald La Vigie (magasin 199)";"2 rue Alfred Kastler 67540 Ostwald";67365;7.695450;48.534800;12;FR*E11*E10156*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Strasbourg Ostwald La Vigie (magasin 199)";DRIVECO;"LM - Strasbourg Ostwald La Vigie (magasin 199)";FR*E11*PLMSTRASBOURG67200*1;"LM - Strasbourg Ostwald La Vigie (magasin 199)";"2 rue Alfred Kastler 67540 Ostwald";67365;7.695450;48.534800;12;FR*E11*E10156*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Strasbourg Ostwald La Vigie (magasin 199)";DRIVECO;"LM - Strasbourg Ostwald La Vigie (magasin 199)";FR*E11*PLMSTRASBOURG67200*1;"LM - Strasbourg Ostwald La Vigie (magasin 199)";"2 rue Alfred Kastler 67540 Ostwald";67365;7.695450;48.534800;12;FR*E11*E10157*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Strasbourg Ostwald La Vigie (magasin 199)";DRIVECO;"LM - Strasbourg Ostwald La Vigie (magasin 199)";FR*E11*PLMSTRASBOURG67200*1;"LM - Strasbourg Ostwald La Vigie (magasin 199)";"2 rue Alfred Kastler 67540 Ostwald";67365;7.695450;48.534800;12;FR*E11*E10157*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Strasbourg Ostwald La Vigie (magasin 199)";DRIVECO;"LM - Strasbourg Ostwald La Vigie (magasin 199)";FR*E11*PLMSTRASBOURG67200*1;"LM - Strasbourg Ostwald La Vigie (magasin 199)";"2 rue Alfred Kastler 67540 Ostwald";67365;7.695450;48.534800;12;FR*E11*E10158*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Strasbourg Ostwald La Vigie (magasin 199)";DRIVECO;"LM - Strasbourg Ostwald La Vigie (magasin 199)";FR*E11*PLMSTRASBOURG67200*1;"LM - Strasbourg Ostwald La Vigie (magasin 199)";"2 rue Alfred Kastler 67540 Ostwald";67365;7.695450;48.534800;12;FR*E11*E10158*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"Darty - Limonest";DRIVECO;"Darty - Limonest";FR*E13*PDARTYLIMONEST69760*1;"Darty - Limonest";"rue De Sans Soucis 69760 Limonest";69116;4.779490;45.806599;4;FR*E13*E10159*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"Darty - Limonest";DRIVECO;"Darty - Limonest";FR*E13*PDARTYLIMONEST69760*1;"Darty - Limonest";"rue De Sans Soucis 69760 Limonest";69116;4.779490;45.806599;4;FR*E13*E10159*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"Darty - Limonest";DRIVECO;"Darty - Limonest";FR*E13*PDARTYLIMONEST69760*1;"Darty - Limonest";"rue De Sans Soucis 69760 Limonest";69116;4.779490;45.806599;4;FR*E13*E10160*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"Darty - Limonest";DRIVECO;"Darty - Limonest";FR*E13*PDARTYLIMONEST69760*1;"Darty - Limonest";"rue De Sans Soucis 69760 Limonest";69116;4.779490;45.806599;4;FR*E13*E10160*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Tassin (magasin 117)";DRIVECO;"LM - Tassin (magasin 117)";FR*E11*PLMTASSIN69160*1;"LM - Tassin (magasin 117)";"12 Avenue Victor Hugo 69160 Tassin-la-Demi-Lune";69244;4.786980;45.769600;4;FR*E11*E10161*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Tassin (magasin 117)";DRIVECO;"LM - Tassin (magasin 117)";FR*E11*PLMTASSIN69160*1;"LM - Tassin (magasin 117)";"12 Avenue Victor Hugo 69160 Tassin-la-Demi-Lune";69244;4.786980;45.769600;4;FR*E11*E10161*P2;22.08;T2;Gratuit;"24/24 7/7 jours";;2020/12/15
"LM - Tassin (magasin 117)";DRIVECO;"LM - Tassin (magasin 117)";FR*E11*PLMTASSIN69160*1;"LM - Tassin (magasin 117)";"12 Avenue Victor Hugo 69160 Tassin-la-Demi-Lune";69244;4.786980;45.769600;4;FR*E11*E10162*P1;22.08;"T2, EF";Gratuit;"24/24 7/7 jours";;2020/12/15
