Classement;Quartier;Date;Année;Occupancy rate;Average Price;RevPAR;Source
All;All;01-05-13;2013;0,771097238;105,4613874;81,32098458;Mkg
All;Autour du Ring;01-05-13;2013;0,714703933;83,48160445;59,66463102;Mkg
All;Brussels Airport;01-05-13;2013;0,728005608;96,34653098;70,14081488;Mkg
All;Grand Place & environs;01-05-13;2013;0,81760169;114,8594149;93,90925175;Mkg
All;Quartier Louise;01-05-13;2013;0,739470517;115,7311551;85,57977717;Mkg
All;Quartier Européen;01-05-13;2013;0,758834182;127,574201;96,80766445;Mkg
All;Rogier/Botanique;01-05-13;2013;0,759690288;96,89939438;73,61352887;Mkg
All;Midi-Lemonnier;01-05-13;2013;0,859528115;86,2832999;74,16292215;Mkg
3 stars;All;01-06-13;2013;0,778863031;90,59184581;70,55863964;Mkg
4 stars;All;01-06-13;2013;0,77443506;116,055983;89,87782213;Mkg
5 stars;All;01-06-13;2013;0,71547878;181,9213662;130,1608772;Mkg
All;All;01-06-13;2013;0,768777434;115,2521634;88,60326249;Mkg
All;Autour du Ring;01-06-13;2013;0,694691781;94,82907896;65,87698174;Mkg
All;Brussels Airport;01-06-13;2013;0,768502177;105,933193;81,4098894;Mkg
All;Grand Place & environs;01-06-13;2013;0,801751382;124,4892044;99,80939161;Mkg
All;Quartier Louise;01-06-13;2013;0,737892348;126,4214833;93,28544512;Mkg
All;Quartier Européen;01-06-13;2013;0,781123507;139,7020538;109,1245582;Mkg
All;Rogier/Botanique;01-06-13;2013;0,76946053;107,9621177;83,07258836;Mkg
All;Midi-Lemonnier;01-06-13;2013;0,715504648;89,01505267;63,69068393;Mkg
3 stars;All;01-07-13;2013;0,724395876;65,52033213;47,46265839;Mkg
4 stars;All;01-07-13;2013;0,664492411;81,86375693;54,3978452;Mkg
5 stars;All;01-07-13;2013;0,598372588;135,9741407;81,36319846;Mkg
All;All;01-07-13;2013;0,677019677;81,82478061;55,39698651;Mkg
All;Autour du Ring;01-07-13;2013;0,607269112;71,89167637;43,65759445;Mkg
All;Brussels Airport;01-07-13;2013;0,727158353;74,86474491;54,4385246;Mkg
All;Grand Place & environs;01-07-13;2013;0,756907283;88,54762531;67,0223425;Mkg
All;Quartier Louise;01-07-13;2013;0,607229465;89,72360037;54,48281385;Mkg
All;Quartier Européen;01-07-13;2013;0,654445307;97,76116199;63,97933369;Mkg
All;Rogier/Botanique;01-07-13;2013;0,609587748;75,67200271;46,12872572;Mkg
All;Midi-Lemonnier;01-07-13;2013;0,59770595;66,12890287;39,52563874;Mkg
3 stars;All;01-08-13;2013;0,718377322;60,70778507;43,61109604;Mkg
4 stars;All;01-08-13;2013;0,660628636;70,73369616;46,72870523;Mkg
5 stars;All;01-08-13;2013;0,606069797;118,0305808;71,5347702;Mkg
All;All;01-08-13;2013;0,673639371;72,48998842;48,8321102;Mkg
All;Autour du Ring;01-08-13;2013;0,593460009;73,70572506;43,74140024;Mkg
All;Brussels Airport;01-08-13;2013;0,631758137;66,69013365;42,13203459;Mkg
All;Grand Place & environs;01-08-13;2013;0,780002734;78,73243669;61,41151586;Mkg
All;Quartier Louise;01-08-13;2013;0,629058979;82,86979984;52,12999172;Mkg
All;Quartier Européen;01-08-13;2013;0,626686402;74,13455105;46,45911506;Mkg
All;Rogier/Botanique;01-08-13;2013;0,654141577;65,91578697;43,11825684;Mkg
All;Midi-Lemonnier;01-08-13;2013;0,614316926;62,50666789;38,39890406;Mkg
3 stars;All;01-09-13;2013;0,80684184;104,4390503;84,2657955;Mkg
4 stars;All;01-09-13;2013;0,78119631;126,6202318;98,91525786;Mkg
5 stars;All;01-09-13;2013;0,727249071;181,7785692;132,1982955;Mkg
All;All;01-09-13;2013;0,7832907;125,034417;97,93829599;Mkg
All;Autour du Ring;01-09-13;2013;0,721689498;107,3599652;77,48055936;Mkg
All;Brussels Airport;01-09-13;2013;0,746979787;115,4774502;86,25932118;Mkg
All;Grand Place & environs;01-09-13;2013;0,821842035;137,5999924;113,0854578;Mkg
All;Quartier Louise;01-09-13;2013;0,726742073;129,6388752;94,21402489;Mkg
All;Quartier Européen;01-09-13;2013;0,77482731;145,2541264;112,5468641;Mkg
All;Rogier/Botanique;01-09-13;2013;0,814381271;117,0694664;95,33918085;Mkg
All;Midi-Lemonnier;01-09-13;2013;0,79186587;102,2007379;80,92927623;Mkg
3 stars;All;01-10-13;2013;0,794686716;97,80099636;77,72115262;Mkg
4 stars;All;01-10-13;2013;0,772156518;120,1858993;92,80232554;Mkg
5 stars;All;01-10-13;2013;0,762286306;173,1846735;132,016305;Mkg
All;All;01-10-13;2013;0,77969405;118,7246481;92,56890174;Mkg
All;Autour du Ring;01-10-13;2013;0,685925762;95,28415687;65,35785793;Mkg
All;Brussels Airport;01-10-13;2013;0,717182449;110,0489182;78,9251527;Mkg
All;Grand Place & environs;01-10-13;2013;0,848728795;126,0299223;106,9652241;Mkg
All;Quartier Louise;01-10-13;2013;0,752384697;124,3153996;93,5330042;Mkg
All;Quartier Européen;01-10-13;2013;0,785371412;142,3441611;111,7930348;Mkg
All;Rogier/Botanique;01-10-13;2013;0,771344919;115,8018051;89,32313397;Mkg
All;Midi-Lemonnier;01-10-13;2013;0,807094204;94,56534634;76,32314291;Mkg
3 stars;All;01-11-13;2013;0,796652404;92,17587722;73,43213416;Mkg
4 stars;All;01-11-13;2013;0,759537359;115,2846342;87,56298661;Mkg
5 stars;All;01-11-13;2013;0,765171212;163,3564271;124,9956353;Mkg
All;All;01-11-13;2013;0,771430281;113,322446;87,42036642;Mkg
All;Autour du Ring;01-11-13;2013;0,660673516;89,90159136;59,39560046;Mkg
All;Brussels Airport;01-11-13;2013;0,664051372;110,8731117;73,62544191;Mkg
All;Grand Place & environs;01-11-13;2013;0,845268057;119,50981;101,0178248;Mkg
All;Quartier Louise;01-11-13;2013;0,748064999;119,5600486;89,43868762;Mkg
All;Quartier Européen;01-11-13;2013;0,808830143;139,5933521;112,907311;Mkg
All;Rogier/Botanique;01-11-13;2013;0,786455602;103,8473356;81,67131883;Mkg
All;Midi-Lemonnier;01-11-13;2013;0,805677291;88,83230725;71,57017264;Mkg
3 stars;All;01-12-13;2013;0,712403183;83,46414686;59,46012388;Mkg
4 stars;All;01-12-13;2013;0,665839369;101,6059154;67,65321859;Mkg
5 stars;All;01-12-13;2013;0,667446095;147,4544086;98,41786913;Mkg
All;All;01-12-13;2013;0,680166468;100,9508569;68,66338776;Mkg
All;Autour du Ring;01-12-13;2013;0,538886434;86,96672407;46,8651878;Mkg
All;Brussels Airport;01-12-13;2013;0,594083201;94,82596965;56,33451556;Mkg
All;Grand Place & environs;01-12-13;2013;0,764786325;109,709496;83,90432222;Mkg
All;Quartier Louise;01-12-13;2013;0,657761371;102,5360113;67,44422741;Mkg
All;Quartier Européen;01-12-13;2013;0,673996848;123,5467463;83,27011759;Mkg
All;Rogier/Botanique;01-12-13;2013;0,681214824;90,92368217;61,93856017;Mkg
All;Midi-Lemonnier;01-12-13;2013;0,723493124;84,84253486;61,38299062;Mkg
3 stars;All;01-01-14;2014;0,628411808;80,51764495;50,59823881;Mkg
4 stars;All;01-01-14;2014;0,546947685;108,5904935;60,21866396;Mkg
5 stars;All;01-01-14;2014;0,515367618;151,4347499;83,74757571;Mkg
All;All;01-01-14;2014;0,573319927;102,8816326;58,98409003;Mkg
All;Autour du Ring;01-01-14;2014;0,496906761;95,63391507;47,52113897;Mkg
All;Brussels Airport;01-01-14;2014;0,572836662;104,9501099;60,11927059;Mkg
All;Grand Place & environs;01-01-14;2014;0,631114531;103,3414499;65,22029071;Mkg
All;Quartier Louise;01-01-14;2014;0,539532766;109,4472003;59,05035074;Mkg
All;Quartier Européen;01-01-14;2014;0,568618892;126,9093871;72,16307506;Mkg
All;Rogier/Botanique;01-01-14;2014;0,512764345;96,7936751;49,63234542;Mkg
All;Midi-Lemonnier;01-01-14;2014;0,610075826;75,86257426;46,28192263;Mkg
3 stars;All;01-02-14;2014;0,715848099;86,00115946;61,56376654;Mkg
4 stars;All;01-02-14;2014;0,625585841;113,5410103;71,02964836;Mkg
5 stars;All;01-02-14;2014;0,596084706;155,2341806;92,53272095;Mkg
All;All;01-02-14;2014;0,651617219;108,1866059;70,49625531;Mkg
All;Autour du Ring;01-02-14;2014;0,607937867;91,30228347;55,50611546;Mkg
All;Brussels Airport;01-02-14;2014;0,628633271;110,4026478;69,40277765;Mkg
All;Grand Place & environs;01-02-14;2014;0,71840212;109,2568413;78,49034646;Mkg
All;Quartier Louise;01-02-14;2014;0,580385778;116,060375;67,35979107;Mkg
All;Quartier Européen;01-02-14;2014;0,668555621;135,2870285;90,44690337;Mkg
All;Rogier/Botanique;01-02-14;2014;0,620345605;101,7382067;63,11284941;Mkg
All;Midi-Lemonnier;01-02-14;2014;0,643675299;77,25643658;49,7280599;Mkg
3 stars;All;01-03-14;2014;0,771409628;94,26090986;72,71377342;Mkg
4 stars;All;01-03-14;2014;0,68360844;121,8551088;83,30118087;Mkg
5 stars;All;01-03-14;2014;0,702744174;172,4501346;121,1883274;Mkg
All;All;01-03-14;2014;0,713907802;118,4186429;84,5399931;Mkg
All;Autour du Ring;01-03-14;2014;0,641294741;89,12169078;57,15327165;Mkg
All;Brussels Airport;01-03-14;2014;0,644765629;113,008528;72,86401457;Mkg
All;Grand Place & environs;01-03-14;2014;0,81013891;122,8677054;99,53990893;Mkg
All;Quartier Louise;01-03-14;2014;0,669074196;128,6206211;86,05673861;Mkg
All;Quartier Européen;01-03-14;2014;0,718922585;149,3683861;107,3843063;Mkg
All;Rogier/Botanique;01-03-14;2014;0,68319455;112,7284851;77,01548661;Mkg
All;Midi-Lemonnier;01-03-14;2014;0,719728111;91,27124483;65,69048066;Mkg
3 stars;All;01-04-14;2014;0,800233766;83,17630833;66,56049048;Mkg
4 stars;All;01-04-14;2014;0,741058318;104,1911668;77,21173089;Mkg
5 stars;All;01-04-14;2014;0,711283186;157,8514489;112,2770815;Mkg
All;All;01-04-14;2014;0,756887214;103,2687571;78,1628018;Mkg
All;Autour du Ring;01-04-14;2014;0,660958904;80,03862608;52,90224258;Mkg
All;Brussels Airport;01-04-14;2014;0,740800866;94,39240808;69,92597763;Mkg
All;Grand Place & environs;01-04-14;2014;0,825589404;111,7855152;92,28893687;Mkg
All;Quartier Louise;01-04-14;2014;0,699387174;113,3705383;79,28990042;Mkg
All;Quartier Européen;01-04-14;2014;0,701101101;125,5012457;87,98906156;Mkg
All;Rogier/Botanique;01-04-14;2014;0,743436536;96,87121574;72,01760106;Mkg
All;Midi-Lemonnier;01-04-14;2014;0,785590969;85,88871186;67,47339641;Mkg
3 stars;All;01-05-14;2014;0,836923995;100,8436392;84,39846146;Mkg
4 stars;All;01-05-14;2014;0,774726884;121,6778704;94,26711735;Mkg
5 stars;All;01-05-14;2014;0,741363938;157,5077926;116,7705974;Mkg
All;All;01-05-14;2014;0,793693238;116,7260503;92,6446768;Mkg
All;Autour du Ring;01-05-14;2014;0,738842245;96,87769139;71,57733098;Mkg
All;Brussels Airport;01-05-14;2014;0,778126891;107,3554392;83,53615417;Mkg
All;Grand Place & environs;01-05-14;2014;0,854936045;122,0870709;104,3766376;Mkg
All;Quartier Louise;01-05-14;2014;0,747992864;121,5423245;90,91279137;Mkg
All;Quartier Européen;01-05-14;2014;0,750408618;134,6416489;101,0362537;Mkg
All;Rogier/Botanique;01-05-14;2014;0,795975979;113,7004009;90,50278794;Mkg
All;Midi-Lemonnier;01-05-14;2014;0,786264364;106,1728814;83,47995307;Mkg
3 stars;All;01-06-14;2014;0,789273685;91,7250706;72,39618444;Mkg
4 stars;All;01-06-14;2014;0,76543471;116,3518075;89,05971198;Mkg
5 stars;All;01-06-14;2014;0,720600047;158,8590499;114,4738389;Mkg
All;All;01-06-14;2014;0,771865508;110,3864515;85,20349441;Mkg
All;Autour du Ring;01-06-14;2014;0,723817664;97,73222231;70,74030883;Mkg
All;Brussels Airport;01-06-14;2014;0,758513709;107,5869955;81,60621092;Mkg
All;Grand Place & environs;01-06-14;2014;0,835398504;112,8027554;94,23525305;Mkg
All;Quartier Louise;01-06-14;2014;0,743017319;118,0497117;87,71298028;Mkg
All;Quartier Européen;01-06-14;2014;0,74844649;134,0692087;100,3436287;Mkg
All;Rogier/Botanique;01-06-14;2014;0,740766249;102,487003;75,91891272;Mkg
All;Midi-Lemonnier;01-06-14;2014;0,781722429;90,76578822;70,95365242;Mkg
3 stars;All;01-07-14;2014;0,717135434;71,09630693;50,98568094;Mkg
4 stars;All;01-07-14;2014;0,714752755;81,58299159;58,31166802;Mkg
5 stars;All;01-07-14;2014;0,614252075;117,0869361;71,92089344;Mkg
All;All;01-07-14;2014;0,71025439;80,13468846;56,91601424;Mkg
All;Autour du Ring;01-07-14;2014;0,629755284;74,69609556;47,04026085;Mkg
All;Brussels Airport;01-07-14;2014;0,785516455;75,06485593;58,96467951;Mkg
All;Grand Place & environs;01-07-14;2014;0,782270196;84,84582616;66,37236107;Mkg
All;Quartier Louise;01-07-14;2014;0,676206716;84,25120211;56,97122871;Mkg
All;Quartier Européen;01-07-14;2014;0,687256394;93,15215351;64,01941312;Mkg
All;Rogier/Botanique;01-07-14;2014;0,595177296;75,30568855;44,82023607;Mkg
All;Midi-Lemonnier;01-07-14;2014;0,715493464;68,24743987;48,83059719;Mkg
3 stars;All;01-08-14;2014;0,724410042;66,3942012;48,09662609;Mkg
4 stars;All;01-08-14;2014;0,7022749;73,78319323;51,81608463;Mkg
5 stars;All;01-08-14;2014;0,646350106;110,6809741;71,53865938;Mkg
All;All;01-08-14;2014;0,708275792;73,86506916;52,31684035;Mkg
All;Autour du Ring;01-08-14;2014;0,589766407;73,82847793;43,54155617;Mkg
All;Brussels Airport;01-08-14;2014;0,681073407;69,82414141;47,55536587;Mkg
All;Grand Place & environs;01-08-14;2014;0,834216656;79,79904755;66,56969457;Mkg
All;Quartier Louise;01-08-14;2014;0,71540131;80,71987269;57,74710266;Mkg
All;Quartier Européen;01-08-14;2014;0,602973384;73,14433558;44,10408757;Mkg
All;Rogier/Botanique;01-08-14;2014;0,633670941;69,95691044;44,32966124;Mkg
All;Midi-Lemonnier;01-08-14;2014;0,76627893;64,52382355;49,44324649;Mkg
3 stars;All;01-09-14;2014;0,831706904;94,10533665;78,26805823;Mkg
4 stars;All;01-09-14;2014;0,789263944;118,6873047;93,6756102;Mkg
5 stars;All;01-09-14;2014;0,745239783;151,9754454;113,2581479;Mkg
All;All;01-09-14;2014;0,801355633;111,6753932;89,49170545;Mkg
All;Autour du Ring;01-09-14;2014;0,684137931;98,15417171;67,15099195;Mkg
All;Brussels Airport;01-09-14;2014;0,784661618;110,2470311;86,50661378;Mkg
All;Grand Place & environs;01-09-14;2014;0,851193977;116,6487673;99,29072815;Mkg
All;Quartier Louise;01-09-14;2014;0,76243105;112,4188786;85,71164362;Mkg
All;Quartier Européen;01-09-14;2014;0,802991945;135,1148801;108,4961603;Mkg
All;Rogier/Botanique;01-09-14;2014;0,79027045;103,6367739;81,90108002;Mkg
All;Midi-Lemonnier;01-09-14;2014;0,821623296;89,77033218;73,75739622;Mkg
3 stars;All;01-10-14;2014;0,837371588;94,26167314;78,93204689;Mkg
4 stars;All;01-10-14;2014;0,774278984;116,6835209;90,34559806;Mkg
5 stars;All;01-10-14;2014;0,747075489;155,5889932;116,2367232;Mkg
All;All;01-10-14;2014;0,795514538;110,9308154;88,24707639;Mkg
All;Autour du Ring;01-10-14;2014;0,686707453;94,21187576;64,69599722;Mkg
All;Brussels Airport;01-10-14;2014;0,746821307;108,3185079;80,89456964;Mkg
All;Grand Place & environs;01-10-14;2014;0,858063782;115,148814;98,80502676;Mkg
All;Quartier Louise;01-10-14;2014;0,756308844;114,3621056;86,49307185;Mkg
All;Quartier Européen;01-10-14;2014;0,773337293;138,5481062;107,1444174;Mkg
All;Rogier/Botanique;01-10-14;2014;0,813579729;100,5941448;81,84135711;Mkg
All;Midi-Lemonnier;01-10-14;2014;0,80510253;92,69750884;74,63099892;Mkg
3 stars;All;01-11-14;2014;0,807324751;91,45670376;73,83526058;Mkg
4 stars;All;01-11-14;2014;0,761505163;117,9296697;89,80405233;Mkg
5 stars;All;01-11-14;2014;0,736632026;150,0319953;110,5183727;Mkg
All;All;01-11-14;2014;0,776038772;110,3112759;85,60582705;Mkg
All;Autour du Ring;01-11-14;2014;0,615682422;94,47150915;58,16444759;Mkg
All;Brussels Airport;01-11-14;2014;0,694844146;109,1461685;75,83957626;Mkg
All;Grand Place & environs;01-11-14;2014;0,840065937;112,0027412;94,08968779;Mkg
All;Quartier Louise;01-11-14;2014;0,743621291;113,2138521;84,1882309;Mkg
All;Quartier Européen;01-11-14;2014;0,810480299;138,5872068;112,3222008;Mkg
All;Rogier/Botanique;01-11-14;2014;0,785677028;100,9482778;79,31274296;Mkg
All;Midi-Lemonnier;01-11-14;2014;0,817936803;91,46942696;74,81621066;Mkg
3 stars;All;01-12-14;2014;0,752947977;89,2283015;67,18426909;Mkg
4 stars;All;01-12-14;2014;0,694812855;109,113383;75,81338118;Mkg
5 stars;All;01-12-14;2014;0,63881266;149,0115272;95,19045005;Mkg
All;All;01-12-14;2014;0,712408079;104,1494927;74,19694009;Mkg
All;Autour du Ring;01-12-14;2014;0,557838746;87,95495734;49,06468309;Mkg
All;Brussels Airport;01-12-14;2014;0,69257938;97,37852638;67,44235943;Mkg
All;Grand Place & environs;01-12-14;2014;0,775227674;109,8224078;85,13736973;Mkg
All;Quartier Louise;01-12-14;2014;0,666400514;109,6823811;73,09239518;Mkg
All;Quartier Européen;01-12-14;2014;0,717312781;126,8734947;91,00797937;Mkg
All;Rogier/Botanique;01-12-14;2014;0,691359218;96,52893225;66,73616712;Mkg
All;Midi-Lemonnier;01-12-14;2014;0,747885501;87,83597617;65,69125305;Mkg
3 stars;All;01-01-15;2015;0,623511672;84,18443;52,48997473;Mkg
4 stars;All;01-01-15;2015;0,555735738;110,1085711;61,19126796;Mkg
5 stars;All;01-01-15;2015;0,540390991;134,8567191;72,87535612;Mkg
All;All;01-01-15;2015;0,580439779;101,392219;58,85207715;Mkg
All;Autour du Ring;01-01-15;2015;0,573165947;82,32970177;47,18858152;Mkg
All;Brussels Airport;01-01-15;2015;0,60704306;106,0967512;64,40529656;Mkg
All;Grand Place & environs;01-01-15;2015;0,6268288;98,3666928;61,659076;Mkg
All;Quartier Louise;01-01-15;2015;0,539315842;103,2781908;55,69956447;Mkg
All;Quartier Européen;01-01-15;2015;0,565828678;128,8015972;72,87963743;Mkg
All;Rogier/Botanique;01-01-15;2015;0,524646938;95,09082235;49,88910874;Mkg
All;Midi-Lemonnier;01-01-15;2015;0,592287185;81,28764315;48,1456293;Mkg
3 stars;All;01-02-15;2015;0,688099212;86,87546863;59,7789415;Mkg
4 stars;All;01-02-15;2015;0,60989603;114,9524085;70,10901758;Mkg
5 stars;All;01-02-15;2015;0,606900739;138,9123499;84,30600779;Mkg
All;All;01-02-15;2015;0,639934473;105,3754009;67,43335167;Mkg
All;Autour du Ring;01-02-15;2015;0,573253147;91,8895371;52,67596627;Mkg
All;Brussels Airport;01-02-15;2015;0,653035952;111,5435542;72,84195108;Mkg
All;Grand Place & environs;01-02-15;2015;0,68167846;101,2513166;69,02084155;Mkg
All;Quartier Louise;01-02-15;2015;0,592923778;107,4350986;63,70082456;Mkg
All;Quartier Européen;01-02-15;2015;0,642397583;135,1707475;86,83336143;Mkg
All;Rogier/Botanique;01-02-15;2015;0,597721737;96,98599904;57,97063978;Mkg
All;Midi-Lemonnier;01-02-15;2015;0,67311084;83,17289932;55,98458011;Mkg
3 stars;All;01-03-15;2015;0,781539042;98,23483114;76,77435581;Mkg
4 stars;All;01-03-15;2015;0,70737768;128,1689392;90,66384693;Mkg
5 stars;All;01-03-15;2015;0,696232321;162,9796272;113,4716841;Mkg
All;All;01-03-15;2015;0,734459477;119,0082173;87,40671306;Mkg
All;Autour du Ring;01-03-15;2015;0,654036335;86,22141267;56,39193677;Mkg
All;Brussels Airport;01-03-15;2015;0,742093536;118,9246459;88,253211;Mkg
All;Grand Place & environs;01-03-15;2015;0,767827746;122,1743005;93,80881776;Mkg
All;Quartier Louise;01-03-15;2015;0,703662876;124,1280857;87,34432583;Mkg
All;Quartier Européen;01-03-15;2015;0,724221781;151,029329;109,3787296;Mkg
All;Rogier/Botanique;01-03-15;2015;0,705718496;109,039849;76,95143817;Mkg
All;Midi-Lemonnier;01-03-15;2015;0,780743389;95,77533633;74,77596067;Mkg
3 stars;All;01-04-15;2015;0,795726335;100,6971268;80,12735563;Mkg
4 stars;All;01-04-15;2015;0,739452273;125,5458607;92,8351721;Mkg
5 stars;All;01-04-15;2015;0,718913813;158,06592;113,6357733;Mkg
All;All;01-04-15;2015;0,759872003;118,1645048;89,78989891;Mkg
All;Autour du Ring;01-04-15;2015;0,692479523;89,87327543;62,23540294;Mkg
All;Brussels Airport;01-04-15;2015;0,767166697;108,7931382;83,46247244;Mkg
All;Grand Place & environs;01-04-15;2015;0,809965079;123,5179565;100,0452314;Mkg
All;Quartier Louise;01-04-15;2015;0,754634339;125,9366655;95,03613227;Mkg
All;Quartier Européen;01-04-15;2015;0,686057231;141,3199423;96,95356827;Mkg
All;Rogier/Botanique;01-04-15;2015;0,728626145;114,7601082;83,61721521;Mkg
All;Midi-Lemonnier;01-04-15;2015;0,816265736;103,9326237;84,83663955;Mkg
3 stars;All;01-05-15;2015;0,837179671;89,28456852;74,74722566;Mkg
4 stars;All;01-05-15;2015;0,787662526;110,262432;86,84958574;Mkg
5 stars;All;01-05-15;2015;0,740028832;141,0231045;104,3611634;Mkg
All;All;01-05-15;2015;0,802333908;104,422273;83,78153036;Mkg
All;Autour du Ring;01-05-15;2015;0,735242157;91,27044328;67,10587755;Mkg
All;Brussels Airport;01-05-15;2015;0,800739514;101,5585486;81,3219428;Mkg
All;Grand Place & environs;01-05-15;2015;0,851685591;108,1460552;92,10643693;Mkg
All;Quartier Louise;01-05-15;2015;0,773481638;107,7106622;83,31221948;Mkg
All;Quartier Européen;01-05-15;2015;0,759237231;124,414377;94,46002714;Mkg
All;Rogier/Botanique;01-05-15;2015;0,77951122;97,35490621;75,88924167;Mkg
All;Midi-Lemonnier;01-05-15;2015;0,844749426;93,1075057;78,65251195;Mkg
3 stars;All;01-06-15;2015;0,875293092;100,2162321;87,71857573;Mkg
4 stars;All;01-06-15;2015;0,851239182;126,5772391;107,7475054;Mkg
5 stars;All;01-06-15;2015;0,820847906;167,5911271;137,5668258;Mkg
All;All;01-06-15;2015;0,85835161;119,7763956;102,8102619;Mkg
All;Autour du Ring;01-06-15;2015;0,772850189;109,7182847;84,79579713;Mkg
All;Brussels Airport;01-06-15;2015;0,859237052;114,2076898;98,13147868;Mkg
All;Grand Place & environs;01-06-15;2015;0,89198915;123,7662359;110,3981395;Mkg
All;Quartier Louise;01-06-15;2015;0,847095843;127,3351686;107,865092;Mkg
All;Quartier Européen;01-06-15;2015;0,831354193;148,26244;123,2586011;Mkg
All;Rogier/Botanique;01-06-15;2015;0,840569893;109,7934712;92,28908631;Mkg
All;Midi-Lemonnier;01-06-15;2015;0,896461837;100,7026879;90,2761166;Mkg
3 stars;All;01-07-15;2015;0,74439704;72,73246062;54,14182841;Mkg
4 stars;All;01-07-15;2015;0,711068476;87,16026351;61,97691571;Mkg
5 stars;All;01-07-15;2015;0,721309483;122,6650089;88,47943421;Mkg
All;All;01-07-15;2015;0,726974719;84,37054064;61,33525007;Mkg
All;Autour du Ring;01-07-15;2015;0,67913458;66,94068898;45,46173671;Mkg
All;Brussels Airport;01-07-15;2015;0,755257036;79,82815703;60,29077727;Mkg
All;Grand Place & environs;01-07-15;2015;0,824549742;89,37177563;73,69147451;Mkg
All;Quartier Louise;01-07-15;2015;0,71246492;90,00378139;64,12453695;Mkg
All;Quartier Européen;01-07-15;2015;0,658374513;101,079561;66,5482068;Mkg
